Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8088617137113661,0.8517773391472621,0.83949246629659,0.5984171848501979,0.6987458745874587,0.5818103188774305
Decision Tree,0.8196247591925622,0.8784877415154908,0.8490769230769231,0.6239683436970039,0.7193222548061258,0.6061820892307281
kNN,0.7927799648211743,0.8483203618705515,0.775484235826382,0.6201243640474845,0.6891569292624702,0.5441613301043694
Naive Bayes,0.7550046067509841,0.7839748408034076,0.941349837901562,0.3611079706048615,0.5219807158032358,0.48114872919927426
Random Forest (Ensemble),0.8157299606332189,0.8889117316691295,0.8833879592892876,0.5789711701526286,0.6994946045622182,0.6014546996187066
